Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
27500000	-1.966118217521E4	-1.788163525835E4	-1.779546916854E3	-1.761079321461E4	1.102655779018E1	2.717754546867E-1	2.172031763186E1	7.000854840396E-3	6.730587832436E-1	6.71297506491E-3	2.732007211217E-5	7.312615586418E-1	-1.738906749523E3	7.115860515232E0	2.214347280041E1	3.650864311046E1	1.353782753203E1	4.926062178514E0	12	54	186	172	18
28000000	-1.961447845022E4	-1.784355525729E4	-1.770923192931E3	-1.75725213803E4	1.11571559795E1	2.509333189478E-1	1.959955720063E1	7.065555677934E-3	6.29918714588E-1	6.695346730441E-3	2.333521033828E-5	6.796850902934E-1	-1.728560206066E3	1.279771866479E1	2.87439897923E1	2.727962858569E1	1.476547159582E1	6.526036127838E0	31	30	185	152	44
28500000	-1.968082409505E4	-1.78460209337E4	-1.83480316135E3	-1.757662693143E4	1.079038430618E1	2.770252264351E-1	1.940531308255E1	6.592430404008E-3	6.716022564278E-1	6.477521849885E-3	2.626135733026E-5	7.615031225208E-1	-1.794247496845E3	1.699089747773E1	3.423564289939E1	4.91405272394E1	2.177771012076E1	4.428333809686E0	56	136	38	180	32
29000000	-1.967449562105E4	-1.786545515752E4	-1.809040463537E3	-1.758719006581E4	1.087594046461E1	2.701082752678E-1	2.161940311303E1	6.718126210141E-3	6.027461901556E-1	6.636893260463E-3	1.687358232824E-5	6.244923380882E-1	-1.765884244996E3	1.081328664001E1	2.971896731276E1	2.502362738463E1	1.768352931581E1	3.192438176914E0	17	86	190	120	29
29500000	-1.965019093855E4	-1.78764668057E4	-1.773724132853E3	-1.759744962692E4	1.146553548875E1	2.536778732311E-1	2.39408102363E1	6.93097650762E-3	6.041866384987E-1	6.707596519208E-3	1.998543669581E-5	6.342556184224E-1	-1.729406655776E3	9.387726275162E0	3.162807034884E1	1.389863706121E1	2.789046671451E0	3.0162870251E0	52	203	152	3	32
30000000	-1.960428951019E4	-1.784696721516E4	-1.757322295029E3	-1.758436981398E4	1.094422898931E1	2.742605405981E-1	2.153641834959E1	7.165425887907E-3	6.875259074833E-1	6.765376841364E-3	2.760649909424E-5	7.363018344474E-1	-1.716697351765E3	1.599298237256E1	2.469676474583E1	1.249519948824E1	1.639191789546E1	6.490719464014E0	75	179	130	22	36
30500000	-1.961587622304E4	-1.783548062191E4	-1.780395601126E3	-1.757181050094E4	1.098784931294E1	2.526140614354E-1	2.010396173448E1	6.728652276941E-3	6.654168085437E-1	6.548369377141E-3	2.311943809502E-5	7.156073485818E-1	-1.740931000454E3	1.139310708826E1	2.248193959587E1	4.287483236559E1	1.535243667167E1	4.65142672718E0	24	105	98	183	32
31000000	-1.964243323408E4	-1.787787130649E4	-1.764561927589E3	-1.758678328657E4	1.337458569364E1	2.678083765821E-1	2.121901368349E1	6.953689897945E-3	5.851084771103E-1	6.650195615376E-3	1.765640043964E-5	6.145575207261E-1	-1.724887185037E3	7.022764661344E0	1.222377505656E1	2.900502885431E1	1.323508573079E1	4.871569847377E0	1	37	229	146	29
31500000	-1.965358606836E4	-1.785028016987E4	-1.803305898497E3	-1.757398358322E4	1.346400039321E1	2.571768575726E-1	1.978475682337E1	6.943875892295E-3	6.439150753536E-1	6.653147949793E-3	2.852459874316E-5	7.552099968334E-1	-1.766725825915E3	1.104199572205E1	2.704664008436E1	3.699444829481E1	1.637634835748E1	4.890670399522E0	30	7	210	170	25
32000000	-1.964591575873E4	-1.7821721641E4	-1.824194117732E3	-1.754448208857E4	1.01872644575E1	2.551362827385E-1	2.126147203641E1	6.64911793926E-3	6.211404996346E-1	6.709133944845E-3	1.991602234196E-5	6.798737875029E-1	-1.780542422889E3	2.716768518443E1	3.111571422555E1	9.713869908568E1	1.839909957257E1	6.688725877135E0	55	167	17	165	38
32500000	-1.964743795152E4	-1.782540164189E4	-1.822036309626E3	-1.756784764221E4	1.22051883943E1	2.591843173686E-1	2.172977118477E1	6.759697481231E-3	6.433290513608E-1	6.59024868642E-3	2.192777742629E-5	6.846982466681E-1	-1.779815230321E3	1.094010852745E1	2.964027092445E1	1.539676426826E1	1.576729898487E1	5.081025224238E0	32	261	89	33	27
33000000	-1.964642638711E4	-1.78353573077E4	-1.811069079412E3	-1.757115397666E4	8.590894352579E0	2.495755321397E-1	1.955297427767E1	6.425476415658E-3	6.54942861953E-1	6.12912525162E-3	1.931038551684E-5	7.05587811658E-1	-1.766512357773E3	1.287820436786E1	2.734893291681E1	5.154797869437E1	1.39073490215E1	3.322142846292E0	16	184	42	174	26
